strategy,type,mode,filter,horizon,trail_n,sl_n,tp_n,tmo_n,early_exit_n,avg_peak,avg_peak_drop,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,kelly,final_bankroll,max_dd_pct,total_pnl_usd
TRAIL15_TP70_SL60,TRAIL,LAZY_SLOW,ALL,240,38,17,6,22,0,39.9,34.1,83,39.75903614457831,-7.685903614457831,-4.75,-0.7569787541572875,-0.24916480271637648,197.58235841408867,64.373040494771,-302.4176415859113
TRAIL15_TP70_SL60,TRAIL,LAZY_SLOW,ALL,360,38,17,6,22,0,39.9,34.1,83,39.75903614457831,-7.685903614457831,-4.75,-0.7569787541572875,-0.24916480271637648,197.58235841408867,64.373040494771,-302.4176415859113
TP50_SL50,FIXED,LAZY_SLOW,ALL,120,0,28,18,37,0,45.3,36.5,83,37.34939759036144,-7.368554216867469,-18.85,-0.6306417648226744,-0.16492554672343473,197.45472071430964,64.50118943320007,-302.54527928569036
BE30_TP70_SL60,BE,LAZY_STD,ALL,240,0,45,10,28,3,43.4,36.7,83,25.301204819277107,-7.417710843373493,-1.08,-0.644451532066943,-0.1350042274085813,197.15232493412972,61.36323531545463,-302.84767506587025
BE30_TP70_SL60,BE,LAZY_STD,ALL,360,0,45,10,28,3,43.4,36.7,83,25.301204819277107,-7.417710843373493,-1.08,-0.644451532066943,-0.1350042274085813,197.15232493412972,61.36323531545463,-302.84767506587025
TRAIL20_TP150_SL70,TRAIL,LAZY_FAST,ALL,120,37,16,3,27,1,40.5,36.1,83,40.963855421686745,-7.2546987951807225,-6.52,-0.5898000514446299,-0.20572123355808547,197.04312360392365,67.85447962152709,-302.9568763960764
BE30_TP70_SL60,BE,LAZY_FAST,ALL,240,0,47,13,23,2,40.6,35.7,83,24.096385542168676,-7.563855421686746,-1.05,-0.6907046459974535,-0.14135009150718536,196.6894297591639,61.92918499638833,-303.3105702408361
BE30_TP70_SL60,BE,LAZY_FAST,ALL,360,0,47,13,23,2,40.6,35.7,83,24.096385542168676,-7.563855421686746,-1.05,-0.6907046459974535,-0.14135009150718536,196.6894297591639,61.92918499638833,-303.3105702408361
DTRAIL20_ACT30_SL70,DTRAIL,LAZY_SLOW,ALL,120,29,17,0,37,0,44.9,38.8,83,38.55421686746988,-6.448795180722891,-12.25,-0.41343210198977504,-0.1303922898630956,196.6420688699363,72.59857585287429,-303.35793113006366
SCALP_TP10_SL30,SCALP,LAZY_XSLOW,ALL,60,0,27,41,15,13,28.2,26.1,83,53.01204819277109,-8.405542168674698,9.56,-1.3721605232002332,-0.7473102756550548,196.63928227508063,62.96430478161379,-303.36071772491937
TRAIL15_TP70_SL60,TRAIL,FAST_30,ALL,240,40,19,9,15,10,31.3,31.6,83,42.168674698795186,-7.880240963855421,-1.9300000000000002,-0.8327724774035279,-0.30426983400805285,196.43389920674005,63.427723224015885,-303.5661007932599
TRAIL15_TP70_SL60,TRAIL,FAST_30,ALL,360,40,19,9,15,10,31.3,31.6,83,42.168674698795186,-7.880240963855421,-1.9300000000000002,-0.8327724774035279,-0.30426983400805285,196.43389920674005,63.427723224015885,-303.5661007932599
TRAIL20_TP50_SL60,TRAIL,FAST_30,ALL,240,25,21,19,18,9,36.2,33.1,83,43.373493975903614,-7.7860240963855425,-4.03,-0.783640119569822,-0.25570565466111955,196.23285889506448,68.57509733588861,-303.7671411049355
TRAIL20_TP50_SL60,TRAIL,FAST_30,ALL,360,25,21,19,18,9,36.2,33.1,83,43.373493975903614,-7.7860240963855425,-4.03,-0.783640119569822,-0.25570565466111955,196.23285889506448,68.57509733588861,-303.7671411049355
BE15_TP100_SL70,BE,LAZY_FAST,ALL,120,0,56,4,23,5,36.9,32.8,83,15.66265060240964,-7.918072289156626,-0.58,-0.846863234686344,-0.1719939509407769,196.15980087210875,67.65558563664743,-303.84019912789125
DTRAIL20_ACT5_SL70,DTRAIL,LAZY_MED,ALL,180,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT5_SL70,DTRAIL,LAZY_MED,ALL,240,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT5_SL70,DTRAIL,LAZY_MED,ALL,360,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT10_SL70,DTRAIL,LAZY_MED,ALL,180,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT10_SL70,DTRAIL,LAZY_MED,ALL,240,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT10_SL70,DTRAIL,LAZY_MED,ALL,360,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT15_SL70,DTRAIL,LAZY_MED,ALL,180,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
DTRAIL20_ACT15_SL70,DTRAIL,LAZY_MED,ALL,240,37,17,0,29,1,43.2,38.0,83,37.34939759036144,-6.731807228915662,-9.610000000000001,-0.4542963639034772,-0.1473219939545125,195.80805973103747,69.1216328981018,-304.1919402689625
