strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_usd
DTRAIL3_ACT5_SL60,dexscreener,60,median_3,30,56.7,-5.62,3.03,-74.65
DTRAIL3_ACT5_SL60,dexscreener,60,median_5,30,56.7,-4.56,3.14,-61.89
DTRAIL3_ACT5_SL60,dexscreener,60,winsor_p95,30,56.7,-6.69,3.14,-90.27
DTRAIL3_ACT5_SL60,dexscreener,60,dual_confirm,30,60.0,-6.13,3.33,-84.19
DTRAIL3_ACT5_SL60,dexscreener,60,ema_fast,30,56.7,-4.57,3.03,-61.47
DTRAIL3_ACT5_SL60,dexscreener,60,ema_slow,30,53.3,-1.86,3.14,-23.84
DTRAIL3_ACT5_SL60,dexscreener,60,hysteresis,30,60.0,-6.65,3.33,-96.85
DTRAIL3_ACT5_SL60,dexscreener,60,volume_gated,30,60.0,-5.97,3.33,-82.19
DTRAIL3_ACT5_SL60,dexscreener,120,raw,30,53.3,-0.67,1.64,-9.45
DTRAIL3_ACT5_SL60,dexscreener,120,median_3,30,53.3,-4.5,1.64,-61.68
DTRAIL3_ACT5_SL60,dexscreener,120,median_5,30,50.0,-1.65,-0.0,-20.87
DTRAIL3_ACT5_SL60,dexscreener,120,winsor_p95,30,53.3,-1.67,1.64,-21.14
DTRAIL3_ACT5_SL60,dexscreener,120,dual_confirm,30,53.3,-0.84,1.64,-11.45
DTRAIL3_ACT5_SL60,dexscreener,120,ema_fast,30,56.7,-1.96,3.53,-26.82
DTRAIL3_ACT5_SL60,dexscreener,120,ema_slow,30,56.7,-1.13,3.62,-13.86
DTRAIL3_ACT5_SL60,dexscreener,120,hysteresis,30,53.3,-1.95,1.64,-32.17
DTRAIL3_ACT5_SL60,dexscreener,120,volume_gated,30,53.3,-0.67,1.64,-9.45
DTRAIL3_ACT5_SL60,both,0,raw,30,56.7,-4.46,2.69,-55.85
DTRAIL3_ACT5_SL60,both,0,median_3,30,50.0,-6.3,-0.33,-79.83
DTRAIL3_ACT5_SL60,both,0,median_5,30,46.7,-9.22,-1.12,-124.39
DTRAIL3_ACT5_SL60,both,0,winsor_p95,30,56.7,-4.54,2.69,-56.71
DTRAIL3_ACT5_SL60,both,0,dual_confirm,30,56.7,-4.62,2.69,-57.7
DTRAIL3_ACT5_SL60,both,0,ema_fast,30,50.0,-5.67,-0.33,-70.36
